ques,skill
1073,68
3024,27
2413,102
5063,62
13681,48
13846,115
12927,74
14644,95
8047,53
6314,24
9368,37
1286,68
10856,6
14956,101
9,90
2177,10
12557,19
1915,10
344,43
1519,10
2020,63
8228,64
8563,54
7207,12
2804,108
4576,65
8825,54
10044,64
11152,4
6312,99
3299,87
12258,100
12473,25
13313,2
12652,27
8419,46
12211,25
14773,101
12175,102
15370,91
7899,10
7436,20
1517,85
7448,74
10777,63
11319,117
11952,30
14709,116
2609,54
10694,65
9794,37
12846,14
6349,102
9637,90
14986,101
6302,27
1409,30
10454,83
1596,85
5044,62
13827,115
7600,64
11922,43
14625,95
15222,85
4814,14
7536,79
13201,67
12623,90
14937,101
5193,10
10842,84
5215,65
13255,74
108,45
8544,54
11522,45
3979,88
12138,48
7647,31
6714,92
6136,115
3037,63
506,54
10062,94
12156,102
14754,101
7880,10
9041,42
10758,63
11033,2
12931,98
4448,14
4453,92
12653,90
14852,114
14967,101
5619,10
853,54
7336,31
3308,41
4268,83
12341,3
1711,85
355,43
1315,85
4925,87
14507,116
14023,3
10131,86
9694,48
11466,5
3923,48
14548,117
6281,102
11207,10
12709,106
7516,83
670,54
10945,10
6038,115
804,54
1583,21
11330,117
4700,90
2680,68
12403,36
14576,71
12683,90
6389,49
4295,41
7628,31
7831,94
11205,85
12307,108
883,54
487,54
10695,20
13890,9
621,54
4198,108
4955,87
5767,2
2498,27
5189,25
11116,13
2759,68
11496,5
4913,90
11892,5
13375,88
13631,14
4770,41
9627,115
14016,84
6024,72
9293,10
9076,12
7799,34
12248,54
4906,87
718,108
6637,6
4744,25
6227,108
15525,112
7063,114
9372,10
13224,40
5681,83
4325,41
13981,19
5216,20
11088,72
11188,10
651,54
4985,87
13421,77
8809,18
5163,93
5760,83
14819,71
3814,10
4378,52
5894,83
9323,10
14860,72
14515,74
864,54
9045,2
4757,85
6447,3
4936,87
863,58
8351,79
14793,18
3700,110
3337,58
5376,93
5973,83
7093,114
9536,10
40,21
4355,41
9274,10
9305,77
2574,35
9057,12
11178,86
741,68
3473,67
5149,87
8800,90
9392,2
6618,6
8798,17
11590,30
5790,83
9601,112
2851,20
5924,83
6461,22
7044,114
8742,85
11111,32
4306,41
12104,22
14501,31
15202,78
4223,6
5343,37
9572,54
8672,26
14388,90
10986,37
10494,100
6039,6
14800,71
4781,41
5741,83
9566,10
4359,52
5875,83
9304,10
8115,108
2967,87
12680,74
9469,77
15322,116
8495,100
1645,107
11879,25
3503,67
14059,36
1502,58
6648,6
2460,27
11620,30
15271,70
5954,83
7074,114
4457,65
8772,85
4209,0
4773,42
5692,83
3180,87
10879,32
4374,67
2321,97
1872,5
8300,46
11141,32
13314,67
15232,78
1118,68
8702,26
13955,100
10961,101
2458,102
3151,29
14871,72
3665,21
2094,54
9334,10
9160,86
2952,85
13131,67
12346,26
7721,46
3533,67
9438,67
3230,29
8653,26
12872,72
14369,90
13427,65
15259,73
4803,42
6976,77
3440,24
3385,88
5438,58
7251,16
5176,58
8476,100
7034,18
11726,25
13343,108
13619,6
8811,90
15281,91
7837,113
13998,39
1166,85
1004,23
7869,65
10164,63
3755,35
10921,42
12855,24
12638,26
3653,24
10222,4
13161,67
6416,90
7068,16
13295,67
12073,25
4234,6
1999,59
4253,19
13570,6
14473,39
14533,90
13151,59
3132,29
7788,113
8526,42
10042,73
12714,21
10914,2
721,85
1759,77
12774,72
7906,68
5349,107
8126,108
3415,88
7025,90
8998,37
12853,72
1647,21
14283,63
4525,74
1330,85
2550,54
10516,77
6443,85
6999,74
9220,86
1529,2
10590,63
11435,118
7334,27
13325,67
7098,16
12929,67
1809,19
1883,5
5460,59
7232,16
4238,17
13600,6
15262,91
4659,10
7818,113
10146,22
3745,84
5435,2
13695,14
7454,65
1119,23
8533,58
2762,58
13901,119
7049,16
13551,6
13790,22
6952,83
1226,85
7623,22
1415,21
6690,83
10023,73
5876,95
10620,63
10942,77
936,23
2378,68
8646,120
12994,88
13646,14
6214,90
11469,8
6744,90
1494,21
3629,30
957,45
3775,84
695,45
9303,97
11416,118
13928,77
5423,5
10309,26
1818,81
4528,92
12131,100
7079,16
15243,91
4701,20
3567,54
5807,116
6982,83
10707,72
5559,14
1445,21
11161,13
6073,6
6931,37
10071,90
12545,90
10626,83
14014,9
9203,51
12577,42
14294,63
4060,108
2296,12
7604,22
6891,86
482,58
4957,67
246,47
6024,6
8366,79
7345,27
5325,5
7364,40
4370,41
4411,42
14717,102
12033,63
2537,74
5314,75
14006,10
3335,54
8643,64
9314,3
7421,22
13532,90
593,47
2773,58
5464,19
5579,6
2993,61
5161,18
7315,40
7544,92
13067,27
15386,116
9233,51
8911,0
13567,84
7937,23
11010,86
11822,1
15504,108
15402,60
5402,80
8786,5
10369,26
13528,92
13065,102
7394,40
6521,115
3018,10
2407,85
12063,63
10607,83
12338,2
170,65
2263,77
4577,88
8347,79
12882,102
11385,84
9802,63
1500,54
4788,42
4392,42
9122,75
8941,0
10906,86
12116,74
10121,45
8583,26
9584,106
9295,3
11401,65
15448,68
7985,77
11915,20
12916,100
6667,61
4251,39
2754,21
6479,10
1458,30
3934,103
6262,12
9201,75
6289,115
6382,77
9374,3
11294,87
10991,86
2574,90
6660,58
14062,39
889,58
493,58
11431,92
713,61
9832,63
14221,32
5396,19
5437,20
6502,115
308,12
15184,116
7897,85
2663,24
9587,3
10010,106
9325,3
11741,25
1868,49
12305,67
14201,90
9008,67
15082,68
6375,10
6509,10
14005,45
2467,85
9205,86
8110,85
10237,4
3578,67
5391,25
13175,108
3316,67
12094,5
14092,39
11199,92
9743,112
9862,63
8499,45
10579,118
11914,74
357,25
6363,77
12367,19
14043,39
12606,72
9552,22
5861,95
157,85
9813,63
10350,2
3646,63
10470,67
7113,16
12421,26
6199,90
32,90
1849,49
6579,82
7478,114
14443,94
5021,54
8149,53
8436,83
8832,83
4792,2
1041,24
7469,65
9503,22
12500,26
12918,14
12978,65
2723,24
7064,16
5639,103
4491,10
6967,83
3140,83
6791,86
10743,54
4012,12
9843,63
12052,21
10896,67
8480,45
4333,67
3755,90
7143,16
6229,90
5067,62
8045,53
1751,12
3790,84
5970,95
1930,14
7246,114
7761,65
1071,24
23,98
8862,83
3352,87
4472,118
13082,14
14648,95
12268,26
7094,16
5803,103
3709,95
8258,53
14163,53
4655,10
11532,106
6821,86
7996,53
10687,51
11243,3
13042,63
13230,114
585,23
1022,24
4363,67
1369,68
15039,101
1107,68
111,103
5097,62
7351,22
13022,84
1184,22
8049,64
11222,65
15074,95
14678,95
1101,24
3833,23
5027,3
10407,118
8461,45
11802,88
6427,88
1320,68
6191,40
6210,90
12839,84
2894,40
2316,63
5048,62
14167,64
5194,116
9401,108
3771,84
2637,118
8160,53
14629,95
4032,88
1052,24
13251,65
5446,108
15069,101
1492,30
12075,102
13921,8
5127,62
13241,20
6221,104
8079,64
7616,74
2905,54
8750,3
11353,117
1728,14
3722,47
6936,86
13364,90
6163,99
2008,68
2627,46
4217,26
6140,115
2260,23
5078,62
7332,22
1924,74
8292,64
7433,74
4720,88
7015,86
8512,67
2868,108
8526,2
9645,37
7570,79
242,47
9488,90
11059,20
12105,102
13216,84
12820,84
3312,41
10136,45
7283,22
11383,117
13711,26
14726,4
2819,108
12475,49
4247,26
11179,58
15050,101
2111,21
2452,85
10793,22
11316,63
5008,87
3033,67
7914,10
11334,117
5487,58
13345,90
198,61
12687,90
4303,42
15001,101
7632,31
753,54
6658,54
10772,84
887,54
491,54
7530,20
11966,64
12704,30
133,117
2965,54
10427,86
2125,77
8030,77
1908,79
14692,19
12744,102
15517,102
9631,115
6596,115
15214,64
13458,88
13637,90
101,20
14113,19
8421,83
3314,63
2299,85
7662,31
9976,42
917,54
521,54
1641,85
2708,24
655,54
4654,97
4989,87
5667,2
10457,86
10719,86
11792,5
15127,68
9703,112
11475,69
15140,7
7146,114
14823,71
5561,20
5165,20
6975,3
15538,53
15483,117
472,54
10188,46
13488,88
15353,7
11688,69
15319,68
5977,83
7097,114
9788,112
9948,64
10003,0
13002,114
7692,31
4665,84
551,54
4675,48
10984,101
6488,6
15170,7
7176,114
13733,40
5794,83
3397,74
1960,107
10783,84
764,54
898,54
14332,76
4836,87
359,5
4970,87
5204,25
7127,114
14804,71
9570,10
8959,85
1717,93
8756,22
2971,87
4265,5
14399,22
8499,100
1171,68
7814,34
12410,67
5288,103
4140,10
5824,83
4286,64
3226,84
9783,10
7078,114
8170,46
11525,24
988,68
12416,3
5616,90
10965,101
7770,112
15151,7
2682,105
6037,83
7157,114
3043,84
14559,95
8989,85
14512,20
3263,87
9338,10
8249,46
14875,72
2060,58
4429,5
1201,68
7725,46
15213,67
6548,6
12472,19
3614,21
7384,12
5854,83
3512,10
5988,83
9959,64
1893,66
9477,24
1772,5
13871,108
9320,77
15266,78
15285,91
8480,100
7038,18
338,80
9498,83
10673,50
10475,65
7321,114
12643,22
6476,22
15461,24
15532,117
12205,25
8151,46
14901,101
10771,63
12939,20
8737,106
11684,30
9449,83
12897,23
12580,87
3244,87
12258,36
8230,46
8130,108
13130,2
13378,67
15315,91
12120,102
11025,101
10521,73
7728,64
10823,115
2554,54
8787,85
5289,58
8181,46
12751,90
14931,101
15065,101
4724,20
6763,92
3313,42
8461,100
2936,92
14903,39
11714,30
9961,86
16,42
8538,54
11848,30
12129,43
2913,108
3725,23
8537,58
12233,100
13482,16
13683,6
12186,25
13146,67
14748,101
12150,102
13889,111
78,102
10909,10
9431,42
5418,64
1230,85
8718,106
10853,115
10027,73
8093,54
6857,77
10286,4
1783,5
7528,16
5453,58
1843,19
9130,50
9727,40
7330,31
12123,90
12762,77
14961,101
6598,82
1705,85
1920,10
14542,117
6240,108
2181,14
6751,95
8306,54
8567,58
12815,88
5270,58
12135,100
7083,16
7510,83
1794,19
9678,40
6032,115
14912,101
7845,73
7919,22
12253,92
6986,83
1656,85
1260,85
4870,87
4589,74
5668,67
13951,63
7701,65
10136,100
14014,119
1512,77
2690,49
615,54
4522,20
12963,20
2010,24
1473,85
3663,30
11189,77
4821,87
12309,108
7375,16
3442,61
10052,79
12628,90
9111,50
14942,101
828,54
7311,31
9009,2
7016,83
1686,85
4900,87
14712,53
5175,26
11501,56
2442,68
7313,40
8548,58
13493,16
2777,58
15377,78
380,49
13135,42
14095,84
1775,19
5605,24
13805,22
517,54
5429,64
4851,87
778,58
6172,108
2393,68
6782,37
14344,7
5563,0
6137,6
3432,110
10397,90
10908,77
5839,83
9268,10
14180,20
3987,103
11389,84
9133,51
15520,54
13467,84
5401,86
9386,2
3467,67
6158,65
7534,22
547,54
4124,108
4881,87
6612,6
8587,26
808,58
11540,24
2685,68
5321,93
10147,100
15018,72
11105,32
12703,102
13333,40
2703,85
2978,61
6770,40
4131,3
4599,108
6266,12
8666,26
11794,25
5586,24
14309,26
13858,90
10420,114
4267,49
4353,52
1863,81
239,22
2534,20
4091,52
6345,12
9298,10
13513,92
13356,108
5610,88
3168,77
8617,26
14085,25
838,58
3749,59
13809,90
14461,16
5686,83
9915,63
4304,52
7881,106
12389,63
2471,85
410,25
9207,13
8434,26
2589,77
3186,67
14083,100
15417,60
4779,52
5899,83
9866,63
444,23
2739,21
6536,115
361,25
13754,46
8647,26
8385,26
3096,29
606,58
2182,103
6208,20
9945,63
10401,114
2039,54
